ISIN,name,ticker,fund_size,expense,replication,structure,strategy,currency,currency_risk,vol_1_year,inception,distribution_policy,distribution_frequency,domicile,provider,YTD,1m_return,3m_return,6m_return,1y_return,3y_return,5y_return,max_return,2022_return,2021_return,2020_return,2019_return,vol_1y,vol_3y,vol_5y,sharpe_1y,sharpe_3y,sharpe_5y,maxdrawdown_1y,maxdrawdown_3y,maxdrawdown_5y,maxdrawdown,description
LU1681043599,Amundi MSCI World UCITS ETF EUR (C),CW8,"  GBP 2,189 m   ", 0.38% p.a. , Synthetic (Unfunded swap) ,ETF,Long-only,EUR,Currency unhedged, 15.44% ,18 April 2018,Accumulating,-,Luxembourg,Amundi ETF,+7.30%,-2.70%,+0.55%,+2.56%,+0.34%,+31.56%,+48.48%,+406.48%,-8.04%,+22.38%,+12.29%,+23.49%,15.44%,15.30%,17.91%,0.02,0.63,0.46,-9.29%,-15.28%,-26.15%,-26.15%," The Amundi MSCI World UCITS ETF EUR (C) seeks to track the MSCI World index. The MSCI World index tracks stocks from 23 developed countries worldwide.      The ETF's TER (total expense ratio) amounts to 0.38% p.a..   The ETF replicates the performance of the underlying index synthetically with a swap.    The dividends in the ETF  are accumulated and reinvested in the ETF.            The Amundi MSCI World UCITS ETF EUR (C) is a very large ETF with 2,189m GBP assets under management.    The ETF was launched on 18 April 2018  and is domiciled in Luxembourg.  "
FR0011869353,Lyxor PEA Monde (MSCI World) UCITS ETF - Capi,EWLD,  GBP 154 m   , 0.45% p.a. , Synthetic (Unfunded swap) ,ETF,Long-only,EUR,Currency unhedged, 15.49% ,13 May 2014,Accumulating,-,France,Amundi ETF,+6.74%,-3.19%,+0.14%,+2.23%,-1.64%,+30.61%,+47.10%,+164.74%,-8.19%,+22.37%,+12.31%,+23.55%,15.49%,15.22%,17.88%,-0.11,0.61,0.45,-10.09%,-15.33%,-26.19%,-26.19%, The Lyxor PEA Monde (MSCI World) UCITS ETF - Capi seeks to track the MSCI World index. The MSCI World index tracks stocks from 23 developed countries worldwide.      The ETF's TER (total expense ratio) amounts to 0.45% p.a..   The ETF replicates the performance of the underlying index synthetically with a swap.    The dividends in the ETF  are accumulated and reinvested in the ETF.            The Lyxor PEA Monde (MSCI World) UCITS ETF - Capi has 154m GBP assets under management.    The ETF was launched on 13 May 2014  and is domiciled in France.  
FR0013412285,Amundi ETF PEA S&P 500 UCITS ETF,PE500,  GBP 637 m   , 0.15% p.a. , Synthetic (Unfunded swap) ,ETF,Long-only,EUR,Currency unhedged, 19.25% ,15 May 2019,Accumulating,-,France,Amundi ETF,+9.17%,-2.29%,+2.67%,+5.68%,-2.06%,+39.04%,-,+62.52%,-8.10%,+29.20%,+14.71%,-,19.25%,18.76%,-,-0.11,0.62,-,-11.82%,-15.86%,-,-26.01%, The Amundi ETF PEA S&P 500 UCITS ETF seeks to track the S&P 500® index. The S&P 500® index tracks the 500 largest US stocks.      The ETF's TER (total expense ratio) amounts to 0.15% p.a..   The ETF replicates the performance of the underlying index synthetically with a swap.    The dividends in the ETF  are accumulated and reinvested in the ETF.            The Amundi ETF PEA S&P 500 UCITS ETF is a large ETF with 637m GBP assets under management.    The ETF was launched on 15 May 2019  and is domiciled in France.  
FR0013412020,Amundi ETF PEA MSCI Emerging Markets UCITS ETF,PAEEM,  GBP 333 m   , 0.20% p.a. , Synthetic (Unfunded swap) ,ETF,Long-only,EUR,Currency unhedged, 16.46% ,15 May 2019,Accumulating,-,France,Amundi ETF,-3.49%,-4.61%,-3.16%,-6.38%,-8.92%,-3.32%,-,-0.75%,-10.29%,-2.41%,+14.04%,-,16.46%,16.12%,-,-0.54,-0.07,-,-13.83%,-27.05%,-,-27.05%, The Amundi ETF PEA MSCI Emerging Markets UCITS ETF seeks to track the MSCI Emerging Markets index. The MSCI Emerging Markets index tracks stocks from emerging markets worldwide.      The ETF's TER (total expense ratio) amounts to 0.20% p.a..   The ETF replicates the performance of the underlying index synthetically with a swap.    The dividends in the ETF  are accumulated and reinvested in the ETF.            The Amundi ETF PEA MSCI Emerging Markets UCITS ETF has 333m GBP assets under management.    The ETF was launched on 15 May 2019  and is domiciled in France.  
FR0013412269,Amundi ETF PEA Nasdaq 100 UCITS ETF,PANX,  GBP 127 m   , 0.23% p.a. , Synthetic (Unfunded swap) ,ETF,Long-only,EUR,Currency unhedged, 24.34% ,15 May 2019,Accumulating,-,France,Amundi ETF,+29.40%,-2.48%,+5.65%,+18.42%,+5.26%,+35.02%,-,+97.80%,-24.18%,+27.79%,+43.88%,-,24.34%,25.15%,-,0.22,0.42,-,-20.74%,-28.05%,-,-28.05%, The Amundi ETF PEA Nasdaq 100 UCITS ETF seeks to track the Nasdaq 100® index. The Nasdaq 100® index tracks a selection of 100 stocks chosen from among non-financial stocks listed on the NASDAQ stock exchange.      The ETF's TER (total expense ratio) amounts to 0.23% p.a..   The ETF replicates the performance of the underlying index synthetically with a swap.    The dividends in the ETF  are accumulated and reinvested in the ETF.            The Amundi ETF PEA Nasdaq 100 UCITS ETF has 127m GBP assets under management.    The ETF was launched on 15 May 2019  and is domiciled in France.  
FR0011871128,Lyxor PEA S&P 500 UCITS ETF - Capi,PSP5,  GBP 369 m   , 0.15% p.a. , Synthetic (Unfunded swap) ,ETF,Long-only,EUR,Currency unhedged, 18.96% ,20 May 2014,Accumulating,-,France,Amundi ETF,+9.22%,-2.28%,+2.68%,+5.69%,-2.06%,+38.87%,+67.39%,+262.53%,-8.19%,+29.25%,+14.65%,+27.23%,18.96%,23.62%,24.57%,-0.11,0.49,0.44,-11.82%,-17.01%,-25.99%,-25.99%, The Lyxor PEA S&P 500 UCITS ETF - Capi seeks to track the S&P 500® index. The S&P 500® index tracks the 500 largest US stocks.      The ETF's TER (total expense ratio) amounts to 0.15% p.a..   The ETF replicates the performance of the underlying index synthetically with a swap.    The dividends in the ETF  are accumulated and reinvested in the ETF.            The Lyxor PEA S&P 500 UCITS ETF - Capi has 369m GBP assets under management.    The ETF was launched on 20 May 2014  and is domiciled in France.  
FR0011550185,BNP Paribas Easy S&P 500 UCITS ETF EUR,ESE,"  GBP 1,339 m   ", 0.15% p.a. , Synthetic (Unfunded swap) ,ETF,Long-only,EUR,Currency unhedged, 19.44% ,16 September 2013,Accumulating,-,France,BNP Paribas Easy,+9.69%,-1.95%,+3.14%,+5.75%,+0.12%,+39.59%,+69.31%,+286.00%,-8.13%,+29.25%,+14.77%,+27.25%,19.44%,18.75%,22.07%,0.01,0.63,0.50,-11.08%,-15.85%,-26.08%,-26.08%," The BNP Paribas Easy S&P 500 UCITS ETF EUR seeks to track the S&P 500® index. The S&P 500® index tracks the 500 largest US stocks.      The ETF's TER (total expense ratio) amounts to 0.15% p.a..   The ETF replicates the performance of the underlying index synthetically with a swap.    The dividends in the ETF  are accumulated and reinvested in the ETF.            The BNP Paribas Easy S&P 500 UCITS ETF EUR is a very large ETF with 1,339m GBP assets under management.    The ETF was launched on 16 September 2013  and is domiciled in France.  "
FR0013412012,Amundi ETF PEA MSCI Emerging Asia UCITS ETF,PAASI,  GBP 448 m   , 0.20% p.a. , Synthetic (Unfunded swap) ,ETF,Long-only,EUR,Currency unhedged, 19.01% ,15 May 2019,Accumulating,-,France,Amundi ETF,-4.69%,-4.74%,-4.07%,-8.15%,-10.16%,-8.10%,-,+2.31%,-11.49%,-4.94%,+23.86%,-,19.01%,18.20%,-,-0.53,-0.15,-,-17.50%,-33.78%,-,-33.78%, The Amundi ETF PEA MSCI Emerging Asia UCITS ETF seeks to track the MSCI Emerging Markets Asia index. The MSCI Emerging Markets Asia index tracks large and mid cap companies from Asian emerging markets.      The ETF's TER (total expense ratio) amounts to 0.20% p.a..   The ETF replicates the performance of the underlying index synthetically with a swap.    The dividends in the ETF  are accumulated and reinvested in the ETF.            The Amundi ETF PEA MSCI Emerging Asia UCITS ETF is a large ETF with 448m GBP assets under management.    The ETF was launched on 15 May 2019  and is domiciled in France.  
FR0010411884,Lyxor CAC 40 Daily (-2x) Inverse UCITS ETF - Acc,BX4,  GBP 288 m   , 0.60% p.a. , Synthetic (Unfunded swap) ,ETF,"Short, Leverage",EUR,Currency unhedged, 33.99% ,15 January 2007,Accumulating,-,France,Amundi ETF,-25.96%,+5.48%,+4.05%,-4.94%,-25.24%,-72.89%,-80.00%,-97.92%,+1.96%,-50.49%,-16.94%,-48.33%,33.99%,38.63%,43.53%,-0.74,-0.91,-0.63,-49.29%,-77.74%,-88.25%,-99.50%, The Lyxor CAC 40 Daily (-2x) Inverse UCITS ETF - Acc seeks to track the CAC 40® Leverage (2x) index. The CAC 40® Leverage (2x) index tracks the two times leveraged performance of the CAC 40® index. The CAC 40® index tracks the 40 largest and most traded French stocks listed on Euronext in Paris.      The ETF's TER (total expense ratio) amounts to 0.60% p.a..   The ETF replicates the performance of the underlying index synthetically with a swap.    The dividends in the ETF  are accumulated and reinvested in the ETF.            The Lyxor CAC 40 Daily (-2x) Inverse UCITS ETF - Acc has 288m GBP assets under management.    The ETF was launched on 15 January 2007  and is domiciled in France.  
FR0011871110,Lyxor PEA Nasdaq 100 UCITS ETF - Capi,PUST,  GBP 153 m   , 0.30% p.a. , Synthetic (Unfunded swap) ,ETF,Long-only,EUR,Currency unhedged, 24.05% ,20 May 2014,Accumulating,-,France,Amundi ETF,+29.38%,-2.50%,+5.64%,+18.45%,+5.19%,+34.51%,+108.04%,+475.06%,-24.36%,+27.65%,+43.78%,+34.47%,24.05%,24.86%,26.46%,0.22,0.42,0.60,-20.81%,-28.26%,-28.26%,-28.26%, The Lyxor PEA Nasdaq 100 UCITS ETF - Capi seeks to track the Nasdaq 100® index. The Nasdaq 100® index tracks a selection of 100 stocks chosen from among non-financial stocks listed on the NASDAQ stock exchange.      The ETF's TER (total expense ratio) amounts to 0.30% p.a..   The ETF replicates the performance of the underlying index synthetically with a swap.    The dividends in the ETF  are accumulated and reinvested in the ETF.            The Lyxor PEA Nasdaq 100 UCITS ETF - Capi has 153m GBP assets under management.    The ETF was launched on 20 May 2014  and is domiciled in France.  
