ISIN,name,ticker,fund_size,expense,replication,structure,strategy,currency,currency_risk,vol_1_year,inception,domicile,provider,YTD,1m_return,3m_return,6m_return,1y_return,3y_return,5y_return,max_return,2022_return,2021_return,2020_return,2019_return,vol_1y,vol_3y,vol_5y,sharpe_1y,sharpe_3y,sharpe_5y,maxdrawdown_1y,maxdrawdown_3y,maxdrawdown_5y,maxdrawdown,description
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IE000MWUQBJ0,HSBC EURO STOXX 50 UCITS ETF EUR (Acc),H50A,10,0.05, Physical (Full replication) ,ETF,Long-only,EUR,Currency unhedged, 17.68% ,28 June 2022,Ireland,HSBC ETF,11.14,-4.27,-4.03,-0.05,21.25,-,-,23.12,-,-,-,-,17.68,-,-,1.2,-,-,-7.97,-,-,-9.09, The HSBC EURO STOXX 50 UCITS ETF EUR (Acc) seeks to track the EURO STOXX® 50 index. The EURO STOXX® 50 index tracks the 50 largest companies in the eurozone.      The ETF's TER (total expense ratio) amounts to 0.05% p.a..  The HSBC EURO STOXX 50 UCITS ETF EUR (Acc) is the cheapest ETF that tracks the EURO STOXX® 50 index.   The ETF replicates the performance of the underlying index by full replication (buying all the index constituents).    The dividends in the ETF  are accumulated and reinvested in the ETF.            The HSBC EURO STOXX 50 UCITS ETF EUR (Acc) is a very small ETF with 10m GBP assets under management.    The ETF was launched on 28 June 2022  and is domiciled in Ireland.  
DE000A2QP4A8,iShares STOXX Europe 600 Automobiles & Parts UCITS ETF (DE) EUR (Acc),EXHG,8,0.46, Physical (Full replication) ,ETF,Long-only,EUR,Currency unhedged, 23.53% ,6 April 2022,Germany,iShares,16.43,-5.52,-2.94,-1,23.38,-,-,22.17,-,-,-,-,23.53,-,-,0.99,-,-,-10.94,-,-,-18.64, The iShares STOXX Europe 600 Automobiles & Parts UCITS ETF (DE) EUR (Acc) seeks to track the STOXX® Europe 600 Automobiles & Parts index. The STOXX® Europe 600 Automobiles & Parts index tracks the European Automobile & Parts sector.      The ETF's TER (total expense ratio) amounts to 0.46% p.a..   The ETF replicates the performance of the underlying index by full replication (buying all the index constituents).    The dividends in the ETF  are accumulated and reinvested in the ETF.            The iShares STOXX Europe 600 Automobiles & Parts UCITS ETF (DE) EUR (Acc) is a very small ETF with 8m GBP assets under management.    The ETF was launched on 6 April 2022  and is domiciled in Germany.  
DE000A2QP372,iShares EURO STOXX Banks 30-15 UCITS ETF (DE) EUR (Acc),EXA1,144,0.51, Physical (Full replication) ,ETF,Long-only,EUR,Currency unhedged, 25.25% ,3 December 2021,Germany,iShares,15.81,-2.69,6.07,-3.04,43.39,-,-,24.03,6.12,-,-,-,25.25,-,-,1.72,-,-,-19.79,-,-,-34.44, The iShares EURO STOXX Banks 30-15 UCITS ETF (DE) EUR (Acc) seeks to track the EURO STOXX® Banks 30-15 index. The EURO STOXX® Banks 30-15 index tracks the eurozone banking sector. The index caps the weight of the largest and second largest company at 30% and 15%.      The ETF's TER (total expense ratio) amounts to 0.51% p.a..   The ETF replicates the performance of the underlying index by full replication (buying all the index constituents).    The dividends in the ETF  are accumulated and reinvested in the ETF.            The iShares EURO STOXX Banks 30-15 UCITS ETF (DE) EUR (Acc) has 144m GBP assets under management.    The ETF was launched on 3 December 2021  and is domiciled in Germany.  
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
